tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.fin,tcp.flags.syn,tcp.flags.ack,tcp.flags.push,tcp.flags.urg,tcp.window_size_value,tcp.hdr_len,tcp.len
37622,80,0,0,0,1,0,0,0,26883,40,0
37622,80,1,1,0,0,1,0,0,211,32,0
37622,80,1,1,0,0,1,1,0,211,32,230
37624,80,0,0,0,1,0,0,0,26883,40,0
37624,80,1,1,0,0,1,0,0,211,32,0
37624,80,1,1,0,0,1,1,0,211,32,230
37626,80,0,0,0,1,0,0,0,26883,40,0
37626,80,1,1,0,0,1,0,0,211,32,0
37626,80,1,1,0,0,1,1,0,211,32,230
37628,80,0,0,0,1,0,0,0,26883,40,0
37628,80,1,1,0,0,1,0,0,211,32,0
37628,80,1,1,0,0,1,1,0,211,32,230
37630,80,0,0,0,1,0,0,0,26883,40,0
37630,80,1,1,0,0,1,0,0,211,32,0
37630,80,1,1,0,0,1,1,0,211,32,230
37632,80,0,0,0,1,0,0,0,26883,40,0
37632,80,1,1,0,0,1,0,0,211,32,0
37632,80,1,1,0,0,1,1,0,211,32,230
37634,80,0,0,0,1,0,0,0,26883,40,0
37634,80,1,1,0,0,1,0,0,211,32,0
37634,80,1,1,0,0,1,1,0,211,32,230
37636,80,0,0,0,1,0,0,0,26883,40,0
37636,80,1,1,0,0,1,0,0,211,32,0
37636,80,1,1,0,0,1,1,0,211,32,230
37638,80,0,0,0,1,0,0,0,26883,40,0
37638,80,1,1,0,0,1,0,0,211,32,0
37638,80,1,1,0,0,1,1,0,211,32,230
37640,80,0,0,0,1,0,0,0,26883,40,0
37640,80,1,1,0,0,1,0,0,211,32,0
37640,80,1,1,0,0,1,1,0,211,32,230
37642,80,0,0,0,1,0,0,0,26883,40,0
37642,80,1,1,0,0,1,0,0,211,32,0
37642,80,1,1,0,0,1,1,0,211,32,230
37644,80,0,0,0,1,0,0,0,26883,40,0
37644,80,1,1,0,0,1,0,0,211,32,0
37644,80,1,1,0,0,1,1,0,211,32,230
37646,80,0,0,0,1,0,0,0,26883,40,0
37646,80,1,1,0,0,1,0,0,211,32,0
37646,80,1,1,0,0,1,1,0,211,32,230
37648,80,0,0,0,1,0,0,0,26883,40,0
37648,80,1,1,0,0,1,0,0,211,32,0
37648,80,1,1,0,0,1,1,0,211,32,230
37650,80,0,0,0,1,0,0,0,26883,40,0
37650,80,1,1,0,0,1,0,0,211,32,0
37650,80,1,1,0,0,1,1,0,211,32,230
37652,80,0,0,0,1,0,0,0,26883,40,0
37652,80,1,1,0,0,1,0,0,211,32,0
37652,80,1,1,0,0,1,1,0,211,32,230
37654,80,0,0,0,1,0,0,0,26883,40,0
37654,80,1,1,0,0,1,0,0,211,32,0
37654,80,1,1,0,0,1,1,0,211,32,230
37656,80,0,0,0,1,0,0,0,26883,40,0
37656,80,1,1,0,0,1,0,0,211,32,0
37656,80,1,1,0,0,1,1,0,211,32,230
37658,80,0,0,0,1,0,0,0,26883,40,0
37658,80,1,1,0,0,1,0,0,211,32,0
37658,80,1,1,0,0,1,1,0,211,32,230
37660,80,0,0,0,1,0,0,0,26883,40,0
37660,80,1,1,0,0,1,0,0,211,32,0
37660,80,1,1,0,0,1,1,0,211,32,230
37662,80,0,0,0,1,0,0,0,26883,40,0
37664,80,0,0,0,1,0,0,0,26883,40,0
37662,80,1,1,0,0,1,0,0,211,32,0
37664,80,1,1,0,0,1,0,0,211,32,0
37664,80,1,1,0,0,1,1,0,211,32,230
37666,80,0,0,0,1,0,0,0,26883,40,0
37666,80,1,1,0,0,1,0,0,211,32,0
37666,80,1,1,0,0,1,1,0,211,32,230
37668,80,0,0,0,1,0,0,0,26883,40,0
37668,80,1,1,0,0,1,0,0,211,32,0
37668,80,1,1,0,0,1,1,0,211,32,230
37670,80,0,0,0,1,0,0,0,26883,40,0
37670,80,1,1,0,0,1,0,0,211,32,0
37670,80,1,1,0,0,1,1,0,211,32,230
37672,80,0,0,0,1,0,0,0,26883,40,0
37672,80,1,1,0,0,1,0,0,211,32,0
37672,80,1,1,0,0,1,1,0,211,32,230
37674,80,0,0,0,1,0,0,0,26883,40,0
37674,80,1,1,0,0,1,0,0,211,32,0
37674,80,1,1,0,0,1,1,0,211,32,230
37676,80,0,0,0,1,0,0,0,26883,40,0
37676,80,1,1,0,0,1,0,0,211,32,0
37676,80,1,1,0,0,1,1,0,211,32,230
37678,80,0,0,0,1,0,0,0,26883,40,0
37678,80,1,1,0,0,1,0,0,211,32,0
37678,80,1,1,0,0,1,1,0,211,32,230
37680,80,0,0,0,1,0,0,0,26883,40,0
37680,80,1,1,0,0,1,0,0,211,32,0
37680,80,1,1,0,0,1,1,0,211,32,230
37682,80,0,0,0,1,0,0,0,26883,40,0
37682,80,1,1,0,0,1,0,0,211,32,0
37682,80,1,1,0,0,1,1,0,211,32,230
37684,80,0,0,0,1,0,0,0,26883,40,0
37662,80,1,1,0,0,1,1,0,211,32,230
37686,80,0,0,0,1,0,0,0,26883,40,0
37684,80,1,1,0,0,1,0,0,211,32,0
37684,80,1,1,0,0,1,1,0,211,32,230
37688,80,0,0,0,1,0,0,0,26883,40,0
37686,80,1,1,0,0,1,0,0,211,32,0
37688,80,1,1,0,0,1,0,0,211,32,0
37688,80,1,1,0,0,1,1,0,211,32,230
37690,80,0,0,0,1,0,0,0,26883,40,0
37686,80,1,1,0,0,1,1,0,211,32,230
37692,80,0,0,0,1,0,0,0,26883,40,0
37690,80,1,1,0,0,1,0,0,211,32,0
37690,80,1,1,0,0,1,1,0,211,32,230
37692,80,1,1,0,0,1,0,0,211,32,0
37694,80,0,0,0,1,0,0,0,26883,40,0
37692,80,1,1,0,0,1,1,0,211,32,230
37696,80,0,0,0,1,0,0,0,26883,40,0
37694,80,1,1,0,0,1,0,0,211,32,0
37694,80,1,1,0,0,1,1,0,211,32,230
37696,80,1,1,0,0,1,0,0,211,32,0
37698,80,0,0,0,1,0,0,0,26883,40,0
37696,80,1,1,0,0,1,1,0,211,32,230
37700,80,0,0,0,1,0,0,0,26883,40,0
37698,80,1,1,0,0,1,0,0,211,32,0
37698,80,1,1,0,0,1,1,0,211,32,230
37700,80,1,1,0,0,1,0,0,211,32,0
37702,80,0,0,0,1,0,0,0,26883,40,0
37700,80,1,1,0,0,1,1,0,211,32,230
37704,80,0,0,0,1,0,0,0,26883,40,0
37702,80,1,1,0,0,1,0,0,211,32,0
37702,80,1,1,0,0,1,1,0,211,32,230
37706,80,0,0,0,1,0,0,0,26883,40,0
37704,80,1,1,0,0,1,0,0,211,32,0
